keys,en,es,fr,de,ja,ar
YES,Yes,Sí,Oui,Ja,はい,نعم
NO,No,No,Non,Nein,いいえ,لا
CLOSE,Close,Cerrar,Fermer,Schließen,閉じる,إغلاق
CONTINUE,Continue,Continuar,Continuer,Weiter,続ける,متابعة
SKIP,Skip,Omitir,Passer,Überspringen,スキップ,تخطي
RETURN,Return,Regresar,Retour,Zurück,戻る,عودة
SELECT,Select,Seleccionar,Sélectionner,Auswählen,選択,اختيار
START,Start,Iniciar,Démarrer,Starten,開始,ابدأ
OPTIONS,Options,Opciones,Options,Optionen,オプション,خيارات
EXIT,Exit,Salir,Quitter,Beenden,終了,خروج
MAIN_MENU,Main menu,Menú principal,Menu principal,Hauptmenü,メインメニュー,القائمة الرئيسية
AUDIO,Audio,Audio,Audio,Audio,オーディオ,الصوت
VIDEO,Video,Video,Vidéo,Video,ビデオ,الفيديو
GAMEPLAY,Gameplay,Jugabilidad,Gameplay,Gameplay,ゲームプレイ,طريقة اللعب
LANGUAGE,Language,Idioma,Langue,Sprache,言語,اللغة
KEYBOARD,Keyboard,Teclado,Clavier,Tastatur,キーボード,لوحة المفاتيح
GAMEPAD,Gamepad,Mando,Manette,Gamepad,ゲームパッド,وحدة التحكم
QUALITY,Quality,Calidad,Qualité,Qualität,品質,الجودة
FULLSCREEN,Fullscreen,Pantalla completa,Plein écran,Vollbild,フルスクリーン,ملء الشاشة
WINDOWED,Window,Ventana,Fenêtré,Fenstermodus,ウィンドウ,نافذة
WINDOW_BORDERLESS,Borderless screen,Pantalla sin bordes,Sans bordure,Randlos,ボーダーレス,بدون حدود
WINDOW_RESOLUTION,Window Resolution,Resolución en modo ventana,Résolution de fenêtre,Fensterauflösung,ウィンドウ解像度,دقة النافذة
SOUND_EFFECTS,Sound effects,Efectos de sonido,Effets sonores,Soundeffekte,効果音,المؤثرات الصوتية
MUSIC,Music,Música,Musique,Musik,音楽,الموسيقى
VOICES,Voices,Voces,Voix,Stimmen,ボイス,الأصوات
MOVE_WITH_JOYSTICK,Move character with left joystick,Mover personaje con joystick izquierdo,Déplacer avec joystick gauche,Charakter mit linkem Joystick bewegen,左スティックでキャラクターを移動,تحريك الشخصية بعصا التحكم اليسرى
GAMEPAD_VIBRTN,Gamepad vibration,Vibración de mando,Vibration manette,Gamepad-Vibration,ゲームパッド振動,اهتزاز وحدة التحكم
SHAKE_CMR_DAMAGE,Shake camera on damage,Sacudir cámara al recibir daño,Vibrer caméra sur dégâts,Kamera bei Schaden schütteln,ダメージ時のカメラ振動,اهتزاز الكاميرا عند تلقي الضرر
FPS_LIMIT,FPS Limit (debug),Límite de FPS (depuración),Limite FPS (debug),FPS-Limit (Debug),FPS制限（デバッグ）,حد الإطارات (تصحيح)
PRESS_NEW_KEY,Press new key (keyboard) or %s,Presiona la nueva tecla (teclado) o %s,Appuyer sur une nouvelle touche (clavier) ou %s,Neue Taste drücken (Tastatur) oder %s,新しいキーを押す（キーボード）または %s,اضغط المفتاح الجديد (لوحة المفاتيح) أو %s
PRESS_NEW_BTN,Press new button (gamepad) or %s,Presiona el nuevo botón (mando) o %s,Appuyer sur un nouveau bouton (manette) ou %s,Neue Taste drücken (Gamepad) oder %s,新しいボタンを押す（ゲームパッド）または %s,اضغط الزر الجديد (وحدة التحكم) أو %s
ACCEPT,Accept,Aceptar,Accepter,Akzeptieren,決定,قبول
CANCEL,Cancel,Cancelar,Annuler,Abbrechen,キャンセル,إلغاء
ACTION_UI_UP,Up,Arriba,Haut,Oben,上,أعلى
ACTION_UI_DOWN,Down,Abajo,Bas,Unten,下,أسفل
ACTION_UI_LEFT,Left,Izquierda,Gauche,Links,左,يسار
ACTION_UI_RIGHT,Right,Derecha,Droite,Rechts,右,يمين
GAMEPAD_CONNECTED,A Gamepad has been connected,Un mando ha sido conectado,Une manette a été connectée,Ein Gamepad wurde verbunden,ゲームパッドが接続されました,تم توصيل وحدة التحكم
GAMEPAD_DISCONNECTED,Gamepad disconnected,El mando ha sido desconectado,Manette déconnectée,Gamepad getrennt,ゲームパッドが切断されました,تم فصل وحدة التحكم
CONF_DEFAULT,Set settings by default,Reestablecer configuración por defecto,Réinitialiser les paramètres,Einstellungen zurücksetzen,設定をデフォルトに戻す,إعادة الإعدادات للافتراضي
CONF_BY_DEFAULT_DONE,Config by default done,Configuración por defecto realizado,Réinitialisation effectuée,Standardeinstellungen wiederhergestellt,デフォルト設定が完了しました,تمت إعادة الإعدادات الافتراضية
ACTION,Action,Acción,Action,Aktion,アクション,إجراء
INVENTORY,Inventory,Inventario,Inventaire,Inventar,インベントリ,المخزون
EQUIP,Equip,Equipo,Équiper,Ausrüsten,装備,تجهيز
STATUS,Status,Estado,Statut,Status,ステータス,الحالة
MAP,Map,Mapa,Carte,Karte,マップ,الخريطة
NOTES,Notes,Anotaciones,Notes,Notizen,メモ,ملاحظات
TIME,Time,Tiempo,Temps,Zeit,時間,الوقت
AREA,Area,Área,Zone,Bereich,エリア,المنطقة
DEATHS,Deaths,Muertes,Morts,Tode,死亡回数,الوفيات
HEALTH_RECOVERED,Restored Health,Salud Recuperada,Santé restaurée,Gesundheit wiederhergestellt,体力回復,استعادة الصحة
NEW_GAME,New Game,Nueva Partida,Nouvelle Partie,Neues Spiel,新しいゲーム,لعبة جديدة
LOAD_GAME,Load game (statue),Cargar partida (estatuas),Charger partie (statue),Spiel laden (Statue),ゲームをロード（像）,تحميل اللعبة (تمثال)
SAVE_MARKER,Save Marker,Guardar Marcador,Enregistrer le marqueur,Markierung speichern,マーカーを保存,حفظ العلامة
DELETE_MARKER,Delete Marker,Eliminar Marcador,Supprimer le marqueur,Markierung löschen,マーカーを削除,حذف العلامة
DELETE_DATA,Delete data,Eliminar datos,Supprimer les données,Daten löschen,データを削除,حذف البيانات
QUICKSAVE_AND_EXIT,Quick-save & Exit,Guardado rápido y salir,Sauvegarde rapide et quitter,Schnellspeichern und Beenden,クイックセーブして終了,حفظ سريع وخروج
GAME_SAVED,Game Saved,Partida Guardada,Partie sauvegardée,Spiel gespeichert,ゲームが保存されました,تم حفظ اللعبة
THIS_ACTION_CANT_BE_UNDO,This action cannot be undone,Esta acción no podrá deshacerse,Cette action est irréversible,Diese Aktion kann nicht rückgängig gemacht werden,この操作は元に戻せません,لا يمكن التراجع عن هذا الإجراء
DELETE,Delete,Eliminar,Supprimer,Löschen,削除,حذف
